net_name,net_route_length,net_steiner_length,fanout,total_cap,net_cap,net_coupling,net_res
net146,2286,-1,3,2.201495169363156e-15,3.709451619975752e-16,0.0829120697453618,77.05044972896576
net147,2358,-1,3,2.3531013614274668e-15,4.2017344634257426e-16,0.18383797473507002,81.80719125270844
net148,1569,-1,2,2.1987785229430745e-15,2.8007059697668715e-16,0.15438003081362695,47.52492618560791
net149,1134,-1,1,7.545694013639224e-16,1.362123740995889e-16,0.03980863377546484,38.4616813659668
net15,3150,-1,1,9.001909350789673e-16,2.660179498048239e-16,0.009603164915461093,101.76300120353699
net150,3675,-1,4,3.0239044453243e-15,5.774166426708626e-16,0.1776825594879483,116.57543790340424
net151,2415,-1,2,1.6479340449814081e-15,4.334190299343818e-16,0.20493505700142123,76.84712409973145
net152,1152,-1,1,8.323599543276917e-16,1.9455097424834079e-16,0.0956313549540937,38.426029205322266
net153,882,-1,1,7.587189098934028e-16,1.4036188262906931e-16,0.035139227796207706,32.09315490722656
net154,34773,-1,19,2.1912383203499114e-14,4.7188713711305424e-15,1.7773287674745006,1000.0786163806915
net155,774,-1,1,8.14819172539476e-16,1.2130618241468932e-16,0.06857944611692801,27.396747589111328
net156,1116,-1,1,1.5959138341631405e-15,2.1702381713018144e-16,0.1631148848682642,36.56648635864258
net157,702,-1,1,1.0860781387054359e-15,9.060107925804332e-17,0.035629832185804844,24.350534439086914
net158,4140,-1,1,1.0537447735263711e-15,4.114917292101321e-16,0.0697115043294616,127.73144626617432
net159,1638,-1,1,1.877272344736128e-15,2.2669227470661565e-16,0.0973551573115401,53.46877670288086
net16,3150,-1,1,9.363293840153352e-16,3.021563987411918e-16,0.06655835259971354,102.29782605171204
net160,2574,-1,2,2.280737007402927e-15,3.3407000615533287e-16,0.09784878412028775,85.983389377594
net161,468,-1,1,6.434706541779171e-16,6.642866476753691e-17,0.0056894689332693815,17.312786102294922
net162,1368,-1,1,1.6175256680540972e-15,2.386356510211381e-16,0.07947908091591671,46.78849792480469
net163,1314,-1,1,1.3312717305624536e-15,2.523517614151454e-16,0.15584202983882278,45.892547607421875
net164,1296,-1,1,7.764637207427884e-16,1.3652371164726406e-16,0.02155417704489082,42.84999084472656
net165,828,-1,1,1.1582389930643979e-15,1.627619336170053e-16,0.06373663246631622,28.600793838500977
net166,684,-1,1,7.80771783252083e-16,1.3228177064741452e-16,0.09924516594037414,24.665939331054688
net168,450,-1,1,7.495394020857712e-16,6.582340678716451e-17,0.01162079512141645,16.806303024291992
net169,1728,-1,2,2.0965359287370864e-15,2.472059303814571e-16,0.08792564965551719,56.81628179550171
net17,2574,-1,1,8.511372454002211e-16,2.1696426012607762e-16,0.02375129738356918,83.79836964607239
net18,450,-1,1,7.132326053511365e-16,7.905962007699304e-17,0.04280765965813771,17.454492568969727
net19,2106,-1,1,8.173924056936754e-16,1.8321942041953196e-16,0.02462227933574468,69.15605092048645
net2,1746,-1,1,1.195560217632488e-15,1.3511022541653345e-16,0.0016476372256875038,57.38625144958496
net20,2088,-1,1,8.12057845131427e-16,1.7788485985728358e-16,0.019877027836628258,68.08640098571777
net21,2106,-1,1,8.059147916210244e-16,1.7174180634688097e-16,0.00422543646163831,69.15605092048645
net22,774,-1,1,7.434063012124988e-16,1.0923331593835537e-16,0.02129768719896674,26.996318817138672
net23,468,-1,1,1.1240611077635685e-15,6.361111554761389e-17,0.02306383103132248,17.312786102294922
net24,2268,-1,1,8.362770581922692e-16,2.021040729181258e-16,0.003913277614628896,73.96947622299194
net25,504,-1,1,1.1594124513337003e-15,6.964251952765654e-17,0.010789469815790653,18.382436752319336
net26,360,-1,1,1.1120352516158071e-15,5.158525939985255e-17,0.014337403699755669,14.103837013244629
net27,414,-1,1,1.1431139492417515e-15,8.26639570257969e-17,0.022011277615092695,16.24313735961914
net28,1548,-1,1,1.278244503449019e-15,2.1779451123306445e-16,0.016712049837224185,49.402286529541016
net29,1530,-1,1,1.1829622966079748e-15,1.2251230439202024e-16,0.0,51.13474237918854
net3,2088,-1,1,1.2464915675970602e-15,1.8604157538110568e-16,0.048815418034791946,68.08640098571777
net30,1530,-1,1,1.2723516952349708e-15,2.1190170301901628e-16,0.1230958104133606,51.13474237918854
net31,1494,-1,1,1.1801991692549129e-15,1.197491770389583e-16,0.0,50.00840985774994
net32,324,-1,1,1.107750217814766e-15,4.7300225598811453e-17,0.02251059003174305,11.288006782531738
net33,2880,-1,2,2.0867389339109064e-15,3.4016112595815695e-16,0.11096312495646998,96.46047306060791
net34,3294,-1,3,2.6613881081848523e-15,3.8523016089478217e-16,0.11862991622183472,110.59995555877686
net35,1242,-1,2,1.9482134716510436e-15,1.7591254363960194e-16,0.10788902407512069,42.82530176639557
net36,62646,-1,56,5.0182012950421295e-14,7.877812985279675e-15,1.9533776240314182,2071.297963500023
net37,5904,-1,3,2.51873103096652e-15,9.046250466787252e-16,0.45404813293134794,193.49783074855804
net38,8298,-1,2,1.8820731157229284e-15,8.577701486519327e-16,0.2056376920081675,214.09259557724
net39,6966,-1,2,1.946686271247144e-15,8.320582517797916e-16,0.24270215692922648,226.74289178848267
net4,1800,-1,1,1.2037728373308289e-15,1.4332284511487433e-16,0.0014416740741580725,59.58223271369934
net40,4482,-1,2,1.4894844619779929e-15,4.651814949069972e-16,0.08029123116284609,148.36041420698166
net41,828,-1,1,7.75337378681177e-16,8.182438855639028e-17,0.0,26.263107299804688
net42,4158,-1,2,1.618520402371529e-15,4.778933418629161e-16,0.05931811360642314,128.4982972741127
net43,72,-1,1,7.018421827324935e-16,8.329192607706756e-18,0.0,3.800457000732422
net44,4584,-1,2,1.6848337647791208e-15,5.081696875295738e-16,0.0725280730985105,97.52089881896973
net45,3204,-1,2,1.4110906097975417e-15,3.86787642726546e-16,0.10300087841460481,102.69370687007904
net46,3669,-1,2,1.5481364113776696e-15,5.238334443066739e-16,0.18808799660291697,94.43301582336426
net47,3132,-1,2,1.4329751882975143e-15,4.0867222122651856e-16,0.11746000545099378,100.1842292547226
net48,4542,-1,2,1.807819454709538e-15,6.931914352421853e-16,0.27645602176198736,111.85638558864594
net49,5652,-1,2,1.7078373796815347e-15,5.932093602141822e-16,0.13849525223486125,182.5188090801239
net5,378,-1,1,1.1119489601343056e-15,5.149896791835102e-17,0.02251059003174305,12.892481803894043
