src,tar,src_type,tar_type,is_net,arc_delay
_436_/C,_436_/Y,pin,pin,0,5.407911965460421e-11
_439_/A,_439_/Y,pin,pin,0,2.4572455181726127e-11
_439_/B,_439_/Y,pin,pin,0,2.934300025181358e-11
_439_/C,_439_/Y,pin,pin,0,2.956361197514745e-11
_439_/D,_439_/Y,pin,pin,0,2.980960964182877e-11
_440_/A,_440_/Y,pin,pin,0,3.5433982137345055e-11
_440_/B,_440_/Y,pin,pin,0,3.694865247094725e-11
_440_/C,_440_/Y,pin,pin,0,3.9069577434380776e-11
_440_/D,_440_/Y,pin,pin,0,3.9746129998352586e-11
_440_/E,_440_/Y,pin,pin,0,3.798414707767428e-11
_441_/A,_441_/Y,pin,pin,0,2.7110001743491097e-11
_441_/B,_441_/Y,pin,pin,0,2.7825262927105854e-11
_441_/C,_441_/Y,pin,pin,0,2.8121359407773383e-11
_441_/D,_441_/Y,pin,pin,0,2.9226780717817036e-11
_442_/A,_442_/Y,pin,pin,0,2.779482373427289e-11
_442_/B,_442_/Y,pin,pin,0,2.829371285872906e-11
_442_/C,_442_/Y,pin,pin,0,2.965059101023293e-11
_442_/D,_442_/Y,pin,pin,0,2.9441823978793025e-11
_443_/A,_443_/Y,pin,pin,0,2.415823964485586e-11
_443_/B,_443_/Y,pin,pin,0,2.3068699728234776e-11
_443_/C,_443_/Y,pin,pin,0,2.3258298065265137e-11
_444_/A1,_444_/Y,pin,pin,0,2.8669148652293863e-11
_444_/A2,_444_/Y,pin,pin,0,3.580187188378936e-11
_444_/B,_444_/Y,pin,pin,0,2.6179962711592175e-11
_444_/C,_444_/Y,pin,pin,0,3.094910785983451e-11
_445_/A1,_445_/Y,pin,pin,0,1.7136708718723526e-11
_445_/A2,_445_/Y,pin,pin,0,1.6278435197025765e-11
_445_/B,_445_/Y,pin,pin,0,1.0272956964263447e-11
_445_/C,_445_/Y,pin,pin,0,9.75902691990882e-12
_446_/A,_446_/Y,pin,pin,0,3.9281990854567184e-11
_446_/B,_446_/Y,pin,pin,0,2.7965732160573076e-11
_447_/A,_447_/Y,pin,pin,0,1.3911326951498992e-11
_447_/B,_447_/Y,pin,pin,0,1.7273644320470183e-11
_448_/A,_448_/Y,pin,pin,0,5.897394985548976e-12
_449_/A1,_449_/Y,pin,pin,0,2.065754858837643e-11
_449_/A2,_449_/Y,pin,pin,0,2.6539218739296544e-11
_449_/B1,_449_/Y,pin,pin,0,2.2559488999096544e-11
_449_/B2,_449_/Y,pin,pin,0,2.0423648883216572e-11
_449_/C,_449_/Y,pin,pin,0,2.2175641531396728e-11
