src,tar,src_type,tar_type
_609_/A1,_609_,pin,cell
_609_/A2,_609_,pin,cell
_609_/B,_609_,pin,cell
_609_,_609_/Y,cell,pin
_610_/A1,_610_,pin,cell
_610_/A2,_610_,pin,cell
_610_/B,_610_,pin,cell
_610_,_610_/Y,cell,pin
_611_/A,_611_,pin,cell
_611_,_611_/Y,cell,pin
_611_/B,_611_,pin,cell
_612_/A1,_612_,pin,cell
_612_/A2,_612_,pin,cell
_612_/B,_612_,pin,cell
_612_/C,_612_,pin,cell
_612_,_612_/Y,cell,pin
_613_/A1,_613_,pin,cell
_613_/A2,_613_,pin,cell
_613_/A3,_613_,pin,cell
_613_/B1,_613_,pin,cell
_613_/B2,_613_,pin,cell
_613_/B3,_613_,pin,cell
_613_,_613_/Y,cell,pin
_614_/A1,_614_,pin,cell
_614_/A2,_614_,pin,cell
_614_/B,_614_,pin,cell
_614_,_614_/Y,cell,pin
_615_/A1,_615_,pin,cell
_615_/A2,_615_,pin,cell
_615_/B,_615_,pin,cell
_615_,_615_/Y,cell,pin
_616_/B,_616_,pin,cell
_616_,_616_/Y,cell,pin
_616_/A,_616_,pin,cell
_618_/A,_618_,pin,cell
_618_/B,_618_,pin,cell
_618_/C,_618_,pin,cell
_618_,_618_/Y,cell,pin
_619_/A1,_619_,pin,cell
_619_/A2,_619_,pin,cell
_619_/B,_619_,pin,cell
_619_,_619_/Y,cell,pin
_620_/A1,_620_,pin,cell
_620_/A2,_620_,pin,cell
_620_/B1,_620_,pin,cell
_620_/B2,_620_,pin,cell
_620_/C,_620_,pin,cell
_620_,_620_/Y,cell,pin
_621_/B,_621_,pin,cell
_621_,_621_/Y,cell,pin
_621_/A,_621_,pin,cell
_622_/A,_622_,pin,cell
_622_/B,_622_,pin,cell
_622_/C,_622_,pin,cell
_622_,_622_/Y,cell,pin
_623_/A1,_623_,pin,cell
_623_/A2,_623_,pin,cell
_623_/B,_623_,pin,cell
_623_,_623_/Y,cell,pin
_624_/A1,_624_,pin,cell
_624_/A2,_624_,pin,cell
_624_/B1,_624_,pin,cell
_624_/B2,_624_,pin,cell
_624_/C,_624_,pin,cell
_624_,_624_/Y,cell,pin
